date,arrival,departure,slot_arrival,slot_departure,holiday_type
2003.10.1,29473,30294,,,0
2003.10.2,27690,34858,,,0
2003.10.3,25431,37601,,,1
2003.10.4,29024,26426,,,1
2003.10.5,43057,32048,,,1
2003.10.6,34506,30116,,,0
2003.10.7,24950,27297,,,0
2003.10.8,26407,28943,,,0
2003.10.9,27974,28863,,,0
2003.10.10,29267,29649,,,0
2003.10.11,31599,28228,,,1
2003.10.12,32521,32591,,,1
2003.10.13,27822,36594,,,0
2003.10.14,24291,30348,,,0
2003.10.15,25934,31266,,,0
2003.10.16,31204,30443,,,0
2003.10.17,31019,28147,,,0
2003.10.18,31400,27570,,,1
2003.10.19,36692,32032,,,1
2003.10.20,32452,31830,,,0
2003.10.21,26798,26285,,,0
2003.10.22,28567,29994,,,0
2003.10.23,30866,31080,,,0
2003.10.24,31597,30466,,,0
2003.10.25,30256,28491,,,1
2003.10.26,33760,33729,,,1
2003.10.27,28912,31822,,,0
2003.10.28,24719,27230,,,0
2003.10.29,26172,27708,,,0
2003.10.30,29554,29002,,,0
2003.10.31,29967,29953,,,0
2003.11.1,30284,26802,,,1
2003.11.2,33121,31257,,,1
2003.11.3,28807,34141,,,0
2003.11.4,22422,28941,,,0
2003.11.5,25248,30842,,,0
2003.11.6,28027,31080,,,0
2003.11.7,28698,31119,,,0
2003.11.8,30266,30027,,,1
2003.11.9,34908,32899,,,1
2003.11.10,30599,32044,,,0
2003.11.11,23725,29014,,,0
2003.11.12,25458,33757,,,0
2003.11.13,29379,32761,,,0
2003.11.14,30104,32681,,,0
2003.11.15,32154,32076,,,1
2003.11.16,35308,35286,,,1
2003.11.17,32334,32048,,,0
2003.11.18,24707,29447,,,0
2003.11.19,25342,30588,,,0
2003.11.20,30690,31111,,,0
2003.11.21,33460,31129,,,0
2003.11.22,36252,28174,,,1
2003.11.23,37886,29918,,,1
2003.11.24,34814,35198,,,0
2003.11.25,27981,29806,,,0
2003.11.26,28393,32439,,,0
